file	line	construct	what_depends_on_order	deterministic_in_python	go_strategy
src/Kathara/manager/docker/DockerLink.py	66	Pool map over link chunks	parallel creation; completion order (link_deployed events) inherent-nondeterministic; created networks independent	completion NO (inherent, same in Go)	errgroup; submission order preserved
src/Kathara/manager/docker/DockerLink.py	145	";".join([x.get_full_name() for x in link.external])	external label content order (lab.ext)	yes (list)	DEFERRED (lab.ext post-1.0); label must be empty string in 1.0
src/Kathara/manager/docker/DockerLink.py	164	undeploy: API list -> sequential reload -> filter empty -> chunked Pool	links_undeploy progress event order; API list order	yes (API order)	keep API order
src/Kathara/manager/docker/DockerLink.py	288	networks_stats dict filled by Pool threads; iterated + yielded	link stats map order (linfo -l display deferred; Python-API get_links_stats consumers)	NO (thread completion insertion order)	!! sort keys before yielding
src/Kathara/manager/docker/DockerManager.py	151	f"...network scenario: {machines_not_in_lab}." (set interpolation)	MachineNotFoundError message text - set repr order (golden stderr)	NO (set of strings repr)	!! sort names and format deterministically (e.g. sorted, comma-joined); goldens must normalize Python side
src/Kathara/manager/docker/DockerManager.py	155	same set interpolation for excluded_machines	MachineNotFoundError message text	NO (set repr)	!! same fix
src/Kathara/manager/docker/DockerManager.py	710	get_lab_from_api: for container in lab_containers; Env loop L729; PortBindings items L734	reconstructed lab machine insertion order + env/port meta insertion order	yes (Docker API order = created desc; JSON object order)	keep API order; envs/ports ordered maps
src/Kathara/manager/docker/DockerManager.py	748	sorted(Networks.items(), key=DriverOpts["kathara.iface"]) - STRING sort	interface reattach sequence; lexicographic: "10" < "2"; numbering still correct (explicit number=) but OrderedDict insertion order lexicographic for >=10 ifaces	yes (deterministic but lexicographic on numeric strings)	interfaces slice re-sorts numerically per spec 4.1 making insertion order moot; if replicating, note lexicographic quirk in DIVERGENCES.md
src/Kathara/manager/docker/DockerManager.py	806	update_lab_from_api: sorted(Networks.items(), key=str kathara.iface)	same lexicographic sort as above	yes (lexicographic)	same
src/Kathara/manager/docker/DockerManager.py	824	for link in dynamic_links (set of Link objects); add_interface + add_meta("sysctl") inside	interface insertion order into machine + sysctl meta application order in update_lab_from_api (lconfig path); numbers explicit so numbering safe, iteration order of interfaces afterwards varies	NO (set of objects, id()-based hash, varies per run)	!! iterate deterministically: sort dynamic links by their kathara.iface number
src/Kathara/manager/docker/DockerManager.py	839	for link in deleted_links (set)	remove_interface call order; final state identical regardless	NO (set) but no observable effect	set OK; document as order-insensitive
src/Kathara/manager/docker/DockerManager.py	907	machines_stats_next.popitem() in get_machine_stats	WHICH stats returned when multiple containers match name (all_users/multi-lab): popitem = LAST-inserted = thread completion	NO (thread completion) - only when >1 match	!! define deterministic pick (e.g. first by sorted key); note divergence
src/Kathara/manager/docker/DockerManager.py	1000	links_stats_next.popitem() in get_link_stats	same conditional nondeterminism	NO (thread completion) - only when >1 match	!! same fix
src/Kathara/manager/docker/stats/DockerMachineStats.py	87	", ".join(sorted([f"{iface}:{link}" ...]))	interfaces column string; sorted LEXICOGRAPHIC so "0:a,1:b,10:j,2:c" for >=10 ifaces	yes (sorted, lexicographic)	replicate exact lexicographic string sort (golden-visible in kathara list)
src/Kathara/manager/docker/stats/DockerMachineStats.py	121	to_dict() literal key order	column order of list table; JSON key order for --format json	yes (literal)	fixed struct field order matching Python literal
src/Kathara/manager/docker/stats/DockerLinkStats.py	49	containers list from network.containers (API)	Attached Devices order in linfo link output	fragile (inspect Containers map order)	DEFERRED-partial (linfo deferred); keep API order for Python-API parity
src/Kathara/manager/kubernetes/KubernetesMachine.py	163	machines = lab.machines.items() + filters	deploy submission order (same pattern as Docker)	yes (insertion)	ordered slice
src/Kathara/manager/kubernetes/KubernetesMachine.py	178	machines_with_volumes = dict(filter(...))	volume prompt order	yes (insertion)	ordered
src/Kathara/manager/kubernetes/KubernetesMachine.py	197	Pool map chunks vs sequential (L201)	lab.dep sequential boot order; parallel completion inherent	sequential yes; parallel NO (inherent)	errgroup; submission order preserved
src/Kathara/manager/kubernetes/KubernetesMachine.py	333	if "exec" in global_machine_metadata: add_meta("exec", ...)	CLI exec appended after lab exec commands	yes	same append order
src/Kathara/manager/kubernetes/KubernetesMachine.py	355	machine.meta['sysctls'] = {**sysctl_parameters, **machine.meta['sysctls']}	merge precedence (machine overrides defaults) AND resulting dict order feeds postStart sysctl command sequence	yes (merge order + insertion)	same merge order into ordered map
src/Kathara/manager/kubernetes/KubernetesMachine.py	392	enumerate(machine.get_volumes().items()) -> V1VolumeMount name=volume{idx}	volumeN naming + mount order in pod spec (golden); MUST match second enumeration at L533	yes (insertion, same dict iterated twice)	single ordered slice iterated for both mounts and volumes so idx always agrees
src/Kathara/manager/kubernetes/KubernetesMachine.py	416	for (host_port, protocol), guest_port in ports_info.items()	container ports LIST order in pod spec (golden)	yes (insertion)	ordered
src/Kathara/manager/kubernetes/KubernetesMachine.py	444	"; ".join(["sysctl -w -q %s=%d" % item for item in meta["sysctls"].items()])	sysctl execution order in postStart hook; command string golden-visible in pod spec	yes (insertion)	iterate ordered sysctls map; identical join
src/Kathara/manager/kubernetes/KubernetesMachine.py	447	"; ".join(STARTUP_COMMANDS).format(...)	startup execution order	yes (list literal)	identical
src/Kathara/manager/kubernetes/KubernetesMachine.py	457	env list: _MEGALOS_SHELL first, then meta['envs'].items()	pod spec env LIST order (golden)	yes (insertion)	same: shell var first, then ordered envs
src/Kathara/manager/kubernetes/KubernetesMachine.py	486	for (idx, interface) in machine.interfaces.items() -> network annotation list	k8s.v1.cni.cncf.io/networks JSON list order: CNI attach order, net<idx> naming, golden annotation; also parsed back positionally by get_lab_from_api	yes (numerically sorted post-check)	iterate sorted interfaces slice; annotation list order = interface number order
src/Kathara/manager/kubernetes/KubernetesMachine.py	512	volumes list: hostlab -> shared -> volume{idx} (L516,L525,L533)	pod spec volumes list order (golden); idx must match volume_mounts	yes (source order + insertion)	same sequence; shared iteration with L392
src/Kathara/manager/kubernetes/KubernetesMachine.py	590	machines_to_watch set; dispatch(items=set)	used for membership + len(items) in progress bar only	n/a (not iterated for output)	set OK
src/Kathara/manager/kubernetes/KubernetesMachine.py	681	"; ".join(SHUTDOWN_COMMANDS)	shutdown execution order	yes	identical
src/Kathara/manager/kubernetes/KubernetesMachine.py	998	namespaces list -> for namespace: extend(list_namespaced_pod...)	pod list order across namespaces (stats/list row base ordering)	yes (K8s API returns sorted by name per namespace; namespace list API order)	keep API order
src/Kathara/manager/kubernetes/KubernetesMachine.py	1024	machines_stats dict filled by Pool threads; iterated L1042; yielded	kathara list row order on Megalos	NO (thread completion insertion)	!! sort keys before yielding
src/Kathara/manager/kubernetes/KubernetesLink.py	59	links = lab.links.items() + filters	network creation submission order + progress events	yes (insertion)	ordered slice
src/Kathara/manager/kubernetes/KubernetesLink.py	77	shared network_ids dict + parallel _deploy_link -> _get_unique_network_id offset probing	vxlanId assignment when two link names hash-collide: which link gets base id vs offset depends on thread arrival	NO (race; only under sha256%MAX collision)	!! reserve IDs sequentially in link order BEFORE parallel create; then create in parallel
src/Kathara/manager/kubernetes/KubernetesLink.py	244	networks_stats dict filled by Pool threads	link stats map order	NO (thread completion insertion)	!! sort keys before yielding
src/Kathara/manager/kubernetes/KubernetesLink.py	348	_get_existing_network_ids list	used only to seed membership dict	n/a	any order
src/Kathara/manager/kubernetes/KubernetesManager.py	111	f"...network scenario: {machines_not_in_lab}." set interpolation	MachineNotFoundError message text	NO (set repr)	!! sorted deterministic formatting
src/Kathara/manager/kubernetes/KubernetesManager.py	115	same for excluded_machines	MachineNotFoundError message text	NO (set repr)	!! same
src/Kathara/manager/kubernetes/KubernetesManager.py	209	running_networks set update / membership diff (also L297-320)	sets used for membership/diff only; passed to undeploy as selection filters	n/a (membership only)	set OK; never iterate for output
src/Kathara/manager/kubernetes/KubernetesManager.py	698	get_lab_from_api: for pod in lab_pods; env L716; ports L722; annotation loop L725 with add_interface(number=None)	interface NUMBERS assigned positionally by annotation list order; machine insertion order; env/ports meta order	yes (annotation JSON order; pods sorted by name)	iterate annotation list in order; positional numbering must match len-based add_interface
src/Kathara/manager/kubernetes/KubernetesManager.py	814	machines_stats_next.popitem()	which stats returned when >1 match	NO (thread completion) conditional	!! deterministic pick
src/Kathara/manager/kubernetes/KubernetesManager.py	905	links_stats_next.popitem()	which stats returned when >1 match	NO (thread completion) conditional	!! deterministic pick
src/Kathara/manager/kubernetes/stats/KubernetesMachineStats.py	36	enumerate(pod_networks_conf) + ", ".join(interfaces)	interfaces column string order (annotation order, NOT sorted - differs from Docker stats which sorts)	yes (annotation list order)	same join without sorting
src/Kathara/manager/Kathara.py	617	for manager_name in AVAILABLE_MANAGERS -> managers dict	manager display order in settings UI / check flows	yes (list literal)	fixed slice; registry keeps declared order
src/Kathara/cli/ui/utils.py	77	create_lab_table: for item in result.values()	ROW ORDER of kathara list / lstart -l / linfo tables - consumes the thread-filled stats dicts	NO (upstream dict is thread-completion ordered)	!! upstream sort fixes this; alternatively sort rows by name here; record divergence (stable row order)
src/Kathara/cli/ui/utils.py	82	for col in row_data.keys() (first row)	table COLUMN order	yes (to_dict literal of first item)	fixed struct field order
src/Kathara/cli/ui/utils.py	101	sorted(lab.links.values(), key=x.name)	topology table row order (lconfig/linfo)	yes (sorted by name)	sort by name
src/Kathara/cli/ui/utils.py	104	", ".join(link.machines.keys())	DEVICES cell content order = attach order	yes (insertion)	ordered map keys in attach order
src/Kathara/cli/ui/event/register.py	57	registration sequence in _register_*_events	per-event callback execution order: progress-bar update registered BEFORE terminal handler on machine_deployed - bar advances then terminal opens	yes (source order)	typed dispatcher preserves registration order (slice)
src/Kathara/event/EventDispatcher.py	85	dispatch: for (run_callback, _) in self.events[event]	subscriber callback execution order = registration order	yes (list append order)	slice of handlers, appended in registration order
src/Kathara/cli/ui/event/MountDevicesVolumes.py	27	machines_with_volumes.items() + machine.meta["volumes"].items() (L29)	volume confirmation tree print order	yes (insertion)	ordered iteration
src/Kathara/cli/ui/event/HandleMachineTerminal.py	23	run() invoked per machine_deployed event; range(num_terms)	terminal windows open in machine_deployed event order = pool completion order	NO (inherent parallel completion; same in Go)	accept; document inherent nondeterminism (not a porting bug)
src/Kathara/cli/command/LstartCommand.py	167	LabParser.parse -> DepParser.parse -> lab.apply_dependencies pipeline	boot order pipeline: parse order then dependency reorder	yes	same sequence
src/Kathara/cli/command/LstartCommand.py	239	create_lab_table(get_machines_stats(...)) for -l/--list	table row order (see cli/ui/utils.py:77)	NO (see !!)	fixed by upstream sort
src/Kathara/cli/command/LconfigCommand.py	85	for cd_name, mac in args['to_add'] then for cd in args['to_remove'] (L95)	interface add order -> iface numbering (len-based when number=None); console message sequence; adds processed before removes	yes (CLI argv order)	same order: all adds in argv order, then removes in argv order
src/Kathara/cli/command/VconfigCommand.py	70	same to_add/to_remove loops	same as LconfigCommand	yes (CLI argv order)	same; vconfig is sugar over same path (spec 3.4)
src/Kathara/cli/command/VstartCommand.py	236	for iface_number, cd, mac in eths	interfaces insertion order (explicit numbers from --eth N:CD)	yes (CLI order)	same; sugar path must produce byte-identical goldens
src/Kathara/cli/command/VstartCommand.py	246	for v in volumes: add_meta("volume", v)	volume mount order	yes (CLI order)	same
src/Kathara/cli/command/ListCommand.py	72	create_lab_table(get_machines_stats(...)) (one-shot L72, watch loop L82)	kathara list table row order - primary consumer of the thread-filled stats dict	NO (see cli/ui/utils.py:77)	fixed by upstream key sort; --format json output must also emit stable order
src/Kathara/cli/command/ExecCommand.py	100	streaming loop over exec_output generator chunks	stdout/stderr chunk interleave order of kathara exec	yes per-stream (chunk arrival inherent)	stream in arrival order; jsonl events preserve arrival order (spec 5.2)
src/Kathara/cli/command/LinfoCommand.py	115	create_topology_table / create_lab_table / str(machine_stats)	linfo display ordering	mixed (see referenced rows)	DEFERRED (spec 0.3): linfo not in 1.0
src/Kathara/cli/ui/setting/CommonOptionsHandler.py	35	managers.items() / SHELLS_HINT / TERMINALS_OSX / AVAILABLE_DEBUG_LEVELS loops (L60,132,226,297)	settings menu option display order	yes (list/dict literals)	REBUILT (spec 3.2): keep same option order in bubbletea form and `config list` output
src/Kathara/setting/Setting.py	68	for (name, value) in DEFAULTS.items() setattr	attribute init; no downstream order effect	yes	any order
src/Kathara/setting/Setting.py	138	json.dumps(addons.merge(_to_dict()), indent=True)	KEY ORDER in written kathara.conf: base keys (_to_dict literal order) then addon-only keys appended	yes (insertion)	REBUILT (spec 3.2) same path+schema; Go struct field order fixed - decide key order once, JSON-equal is acceptable, document
src/Kathara/setting/Setting.py	226	", ".join(AVAILABLE_DEBUG_LEVELS)	SettingsError message text	yes (list literal)	fixed slice
src/Kathara/foundation/setting/SettingsAddon.py	21	merge: settings.update(to_dict)	addon values OVERRIDE base on same key; appended keys ordered after base keys in saved file	yes	same precedence in rebuilt settings
src/Kathara/utils.py	102	chunk_list / list_chunks	pool submission chunk order preserves input order	yes	preserve slice order
src/Kathara/utils.py	114	', '.join(kwargs.keys()) in check_single_not_none_var (also L121,123)	InvocationError message text: parameter name order = call-site kwargs order (PEP 468)	yes (kwargs order)	fixed parameter-name order per call site in Go error strings
src/Kathara/utils.py	289	missing.append read->write->execute probe order	PermissionError message fragment order	yes (source order)	fixed r,w,x order
src/Kathara/utils.py	452	pack_files_for_tar: for path, file_obj in guest_to_host.items()	tar entry order for copy_files; duplicate-path last-wins on container extraction	yes (caller dict insertion)	API takes ordered pairs; Python client must preserve caller order
src/Kathara/strings.py	27	for item in strings.items()	command listing order in `kathara --help`	yes (dict literal)	fixed order in cobra command registration
src/Kathara/foundation/model/FilesystemMixin.py	227	line loops in write_line_before/after/delete (L265,L302)	file line order semantics; first_occurrence counting	yes (file order)	sequential line processing identical (vfs package)
src/Kathara/manager/docker/DockerPlugin.py	68	list(filter(mounts)).pop() xtables mount	picks LAST matching mount; single match in practice	yes (API order)	first/last irrelevant with unique key; keep .pop() semantics (last)
src/Kathara/os/Networking.py	0	(whole file)	external iface attach loops	-	DEFERRED (spec 0.3 lab.ext)
src/Kathara/parser/netkit/ExtParser.py	0	(whole file)	lab.ext parse order	-	DEFERRED (spec 0.3)
src/Kathara/model/ExternalLink.py	0	(whole file)	-	-	DEFERRED (spec 0.3)
src/Kathara/webhooks/	0	(whole package)	-	-	DEFERRED (spec 0.3 version-check webhooks)
src/Kathara/auth/PrivilegeHandler.py	0	(whole file)	-	-	DEFERRED (spec 0.3)
src/Kathara/trdparty/nsenter/	0	(whole package)	-	-	DEFERRED (spec 0.3)
src/Kathara/trdparty/consolemenu/	0	(whole package; menu item ordering)	settings screen item order	yes	REPLACED (spec 3.2 bubbletea rebuild)
src/Kathara/trdparty/libtmux/tmux.py	0	(whole file)	tmux window creation order	yes	REPLACED (spec 3.3 exec tmux binary)
