# ERROR_CODES.tsv — complete exception taxonomy of Kathara v3.8.3 (kathara-python) for the Go port.
# Paths are relative to kathara-python/src/Kathara/ unless prefixed. "lab-checker:" = /root/kathara/kathara-lab-checker/src/kathara_lab_checker/.
# Message variants within one cell are separated by " || ". Messages are exact f-string/%-format templates from source.
#
# CLI TOP-LEVEL ERROR RENDERING (src/kathara.py):
#   1. Catch-all in KatharaEntryPoint.__init__ around command_object.run(): `except Exception as e:` ->
#      logging.critical(f"({type(e).__name__}) {str(e)}") -> sys.exit(1). If Setting.debug_level == "EXCEPTION",
#      logging.exception(...) with the same "({type}) {msg}" format plus traceback. So the observable stderr line is e.g.
#      "CRITICAL (MachineNotFoundError) Device `pc1` not found." and the process exit code is 1.
#   2. Startup settings check: `except (SettingsError, DockerDaemonConnectionError)` -> same "({type}) {msg}" critical, exit 1.
#   3. Unknown command (ClassNotFoundError from CommandFactory): logging.error(f"Unrecognized command `{args.command}`.") + print_help, exit 1.
#   4. ImportError from CommandFactory: logging.critical(f"({type(e).__name__}) `{e.name}` is not installed in your system"), exit 1.
#   5. KeyboardInterrupt: warning ("You interrupted Kathara during a command...`kathara wipe`." unless command in [exec, linfo, list, settings]), exit 0.
#   6. argparse.ArgumentTypeError / argparse usage errors: argparse prints usage+error to stderr, exit 2.
#   7. No/invalid command: print_help, exit 1. --version: print version, exit 0. `exec` returns the remote command's exit code; `check` returns 1 on failed self-test.
#   In the Go port (spec §5.1/§5.3): human mode reproduces "({Code}) {msg}" on stderr; json mode emits {"error":{"code":...,"message":...}} on stdout, exit non-zero.
#
# exit_code_observed legend: 1 = escapes to kathara.py catch-all (exit 1); 2 = argparse; 0 = KeyboardInterrupt path; "-" = never escapes to CLI (caught/internal).
python_exception	parent_class	message_format	raised_in	caught_in	stable_code	go_error_kind	exit_code_observed
MachineNotFoundError	Exception	Device {name} not in the network scenario. || The following devices are not in the network scenario: {machines_not_in_lab}. || Device `{machine_name}` not found. || Device {machine_name} not found.	model/Lab.py:268,332; manager/docker/DockerManager.py:151,155,577; manager/kubernetes/KubernetesManager.py:111,115,573	lab-checker: checks/CollisionDomainCheck.py:35, checks/CustomCommandCheck.py:66, checks/DaemonCheck.py:36, checks/DeviceExistenceCheck.py:20, checks/IPv6EnabledCheck.py:25, checks/SysctlCheck.py:37	MachineNotFound	sentinel ErrMachineNotFound (spec §4.3; LAB-CHECKER CONTRACT)	1
MachineNotRunningError	Exception	Device `{machine_name}` is not running.	manager/docker/DockerMachine.py:669,781,801; manager/docker/DockerManager.py:199,203,249,253; manager/kubernetes/KubernetesMachine.py:715,823	manager/kubernetes/KubernetesMachine.py:689 (swallow during undeploy shutdown-commands, continue); lab-checker: checks/BridgeCheck.py:184, checks/InterfaceIPCheck.py:58, checks/KernelRouteCheck.py:108,118,129, checks/applications/dns/DNSAuthorityCheck.py:26, checks/applications/http/HTTPCheck.py:53, checks/protocols/bgp/BGPNeighborCheck.py:29, checks/protocols/evpn/EVPNSessionCheck.py:24, checks/protocols/evpn/VTEPCheck.py:23, checks/protocols/ospf/OSPFInterfaceCheck.py:28, checks/protocols/ospf/OSPFNeighborCheck.py:28, checks/protocols/ospf/OSPFRoutesCheck.py:28, checks/protocols/scion/SCIONAddressCheck.py:29, checks/protocols/scion/SCIONPathsCheck.py:76	MachineNotRunning	sentinel ErrMachineNotRunning via *MachineError wrap (spec §4.3; LAB-CHECKER CONTRACT — most-caught class)	1
MachineNotReadyError	Exception	Device `{machine_name}` is not ready.	manager/kubernetes/KubernetesMachine.py:719 (pod phase not Running)	-	MachineNotReady	sentinel ErrMachineNotReady	1
MachineBinaryError	Exception	Binary `{self.binary}` not found in device `{self.machine_name}`. (__str__; carries .binary and .machine_name attributes)	manager/docker/DockerMachine.py:874,890 (binary = OCI_RUNTIME_RE groups 3/4 of docker APIError explanation or exec stdout); manager/kubernetes/KubernetesMachine.py:917 (binary = shlex.join(command))	manager/docker/DockerMachine.py:562 (startup cmds -> warning, continue), 1110 (shutdown cmds -> warning); lab-checker: checks/protocols/bgp/BGPNeighborCheck.py:32	MachineBinary	struct BinaryError{Binary, Machine string} (LAB-CHECKER CONTRACT: caught by name and fields read)	1
InterfaceMacAddressError	Exception	MAC address {mac_address} on interface `{interface_num}` of device `{machine_name}` is invalid.	model/Interface.py:31 (regex check in constructor)	-	InterfaceMacAddress	struct {MAC string; Iface int; Machine string}	1
LinkNotFoundError	Exception	Collision domain `%s` (declared in lab.ext) not found in network scenario collision domains. || Collision domain {name} not found in the network scenario. || Collision Domain `{link_name}` not found. || Collision Domain {link_name} not found.	model/Lab.py:175 (lab.ext variant — feature DEFERRED, Lab.py itself in scope),361; manager/docker/DockerManager.py:644; manager/kubernetes/KubernetesManager.py:640	-	LinkNotFound	sentinel ErrLinkNotFound (spec §4.3)	1
LinkAlreadyExistsError	Exception	Collision domain {name} is already the network scenario. (sic — "in" missing in original)	model/Lab.py:378 (new_link)	-	LinkAlreadyExists	sentinel ErrLinkAlreadyExists	1
TestError	Exception	(none — never instantiated)	NEVER RAISED (dead code; leftover of removed ltest command)	-	Test	n/a-dead (do not port; reserve no code)	-
MachineSignatureNotFoundError	TestError	Signature for device `{self.machine_name}` not found! (__str__)	NEVER RAISED (dead code; leftover of removed ltest command)	-	MachineSignatureNotFound	n/a-dead (do not port)	-
InvalidImageArchitectureError	ValueError (NOTE: not Exception — any generic `except ValueError` would swallow it)	Docker Image `{self.image_name}` is not compatible with your host architecture `{self.arch}` (__str__; no trailing period; carries .image_name and .arch)	manager/docker/DockerImage.py:207	manager/docker/DockerImage.py:151,169 (re-raise); validator/ImageValidator.py:14 (-> False)	InvalidImageArchitecture	struct {Image, Arch string}	1
DockerImageNotFoundError	Exception	Docker Image `{image_name}` is not available neither on Docker Hub nor in local repository!	manager/docker/DockerImage.py:168	validator/ImageValidator.py:14 (-> False)	DockerImageNotFound	sentinel ErrDockerImageNotFound wrapped with image name	1
DockerPluginError	Exception	Kathara Network Plugin not found on remote Docker connection. || Kathara Network Plugin not enabled on remote Docker connection. || Kathara has been left in an inconsistent state! Please run `kathara wipe`.	manager/docker/DockerPlugin.py:54,79; manager/docker/DockerMachine.py:424,518 (translated from docker APIError 500 "network does not exist"/"endpoint does not exist")	-	DockerPlugin	sentinel ErrDockerPlugin wrapped with site message	1
KubernetesConfigMapError	Exception	Unable to upload device folder. Maximum supported size: %s. Current: %s. (% human_readable_bytes(MAX_FILE_SIZE), human_readable_bytes(tar_data_size))	manager/kubernetes/KubernetesConfigMap.py:88	-	KubernetesConfigMap	sentinel ErrKubernetesConfigMap	1
# ---- builtin exceptions raised by Kathara code (need codes too — spec §4.3 mapping must be exhaustive) ----
SyntaxError	builtin (Exception)	Invalid device name `{name}`. || In {conf_name} - Line {line_number}: {str(e)} || In {conf_name} - Line {line_number}: Collision domain `{value}` contains non-alphanumeric characters. || In {conf_name} - Line {line_number}: `{line}`. || In lab.dep - Line {line_number}. || In file lab.ext - Line {line_number}. || Invalid interface definition: `{value}`. || Interface number in `--eth {iface_number}:{s}` is not a number.	model/Machine.py:62; parser/netkit/LabParser.py:65,71,83; parser/netkit/DepParser.py:67; parser/netkit/ExtParser.py:71 (DEFERRED); utils.py:468 (parse_cd_mac_address); cli/command/VstartCommand.py:243	parser/netkit/LabParser.py:64 (re-wraps parse_cd_mac_address SyntaxError with file+line prefix)	Syntax	struct labfile.ParseError{File string; Line int; Msg string} (golden-tested via spec §9 Layer B parser vectors)	1
ValueError	builtin (Exception)	In {conf_name} - Line {line_number}: `{key}` is a reserved name, you can not use it for a device. || Option parameter not valid: %s. (% str(e)) || `shared` folder is a symlink, delete it. || Invalid `wait` value. || File type %s not supported (% type(file_obj)) || In file lab.ext, line {line_number}: VLAN ID must be in range [1, 4094]. || (bare, utils.re_search_fail — internal signal)	parser/netkit/LabParser.py:55; parser/netkit/OptionParser.py:29; model/Lab.py:414 (caught by own except OSError? no — escapes); manager/docker/DockerMachine.py:681,690,786,795; utils.py:89,441; parser/netkit/ExtParser.py:64 (DEFERRED); cli/ui/utils.py:224 (bare, converted to ArgumentTypeError)	internal converters: model/Machine.py:262,503,508,531,536,570,617 (->MachineOptionError); setting/Setting.py:110 (->SettingsError),217,222 (->SettingsError); model/Lab.py:249 (dep_sort control flow); parser/netkit/LabParser.py:73 (meta vs iface dispatch); cli/ui/utils.py:225; cli/command/VstartCommand.py:241 (->SyntaxError); manager/kubernetes/KubernetesMachine.py:915 (->MachineBinaryError via OCI_RUNTIME_RE); lab-checker: KernelRouteCheck.py:29, BGPNeighborCheck.py:61,126	Value	wrapped (each site maps to a typed error in Go: parse errors -> labfile.ParseError, wait -> ErrInvocation, symlink -> ErrInvocation/IO)	1
IOError (OSError alias)	builtin (Exception)	No {conf_name} in given directory. || {conf_name} file is empty. || Cannot open {conf_name} file. || Cannot open lab.dep file. || Cannot open lab.ext file.	parser/netkit/LabParser.py:27,30,37; parser/netkit/DepParser.py:47; parser/netkit/ExtParser.py:44 (DEFERRED)	cli/command/LstartCommand.py:168 (re-raise unless --force-lab, then FolderParser fallback); cli/command/{ExecCommand.py:91,ConnectCommand.py:74,LcleanCommand.py:63,LinfoCommand.py:85} (as `(Exception, IOError)` -> fallback Lab(None, path)); lab-checker:__main__.py:78	IO	wrapped (%w around fs error; "No lab.conf in given directory." is the user-visible lstart failure — golden-test it)	1
OSError	builtin (Exception)	lab.ext is only available on Linux systems. || External collision domains available only on Linux systems.	cli/command/LstartCommand.py:205 (lab.ext DEFERRED); manager/docker/DockerLink.py:334,369 (external CD DEFERRED)	auth/PrivilegeHandler.py:42,47,79,84 (swallow, DEFERRED module); foundation/manager/terminal/console/UnixConsoleAdapter.py:83; manager/docker/terminal/session/DockerTTYTerminalSession.py:40,85; model/Lab.py:415 (shared-folder create -> silently skip); validator/DockerConfigJsonValidator.py:16	OS	wrapped (in Go these become FeatureNotAvailable per spec §5.3 for deferred features)	1
FileNotFoundError	OSError	Unable to find Kathara. || Unable to find `{HOSTTMP_KEY}` in plugin mounts. || Cannot find `iptables` in the host.	cli/ui/utils.py:130 (terminal spawn); manager/docker/DockerPlugin.py:140; os/Networking.py:209 (DEFERRED)	-	FileNotFound	wrapped (os.ErrNotExist + message)	1
FileExistsError	OSError	Path `{path}` does not exist. (NOTE: semantically inverted — raised when path does NOT exist; keep class for message parity, fix kind in Go)	utils.py:282,303 (check_directory_permissions, unix+windows variants; volume mount validation)	-	FileExists	wrapped (Go: fs.ErrNotExist semantics with identical message — do not reproduce the wrong class, only the string)	1
NotADirectoryError	OSError	Path `{path}` must be a directory.	utils.py:285,306 (check_directory_permissions)	-	NotADirectory	wrapped	1
PermissionError	OSError	To mount volume `{host_path}` in `{volume['guest_path']}` you miss the following permissions: `{', '.join(missing_permissions)}`.	manager/docker/DockerMachine.py:320; manager/kubernetes/KubernetesMachine.py:402	-	Permission	wrapped (os.ErrPermission + message)	1
ConnectionError	builtin (Exception)	Docker Image `{image_name}` is not available in local repository and no Internet connection is available to pull it from Docker Hub. || Cannot read Kubernetes configuration.	manager/docker/DockerImage.py:163; manager/kubernetes/KubernetesConfig.py:41	validator/ImageValidator.py:14 (-> False)	Connection	wrapped (sentinel ErrConnection)	1
argparse.ArgumentTypeError	Exception	invalid alphanumeric value || invalid interface definition: %s (% value) || invalid interface definition, collision domain `{cd}` contains non-alphanumeric characters || invalid volume definition: %s (% value)	cli/ui/utils.py:210,226,229,242 (argparse type= validators)	argparse internals (prints usage + "error: ..." to stderr)	(none — CLI usage error, not part of JSON error contract)	n/a (cobra flag/arg validation; keep exit code 2)	2
NotImplementedError	RuntimeError	You must implement `{method}` method. (one per abstract stub) || (bare in ITerminalSession.py:29)	foundation/manager/IManager.py (25 stubs); foundation/manager/exec_stream/IExecStream.py:26,35; foundation/manager/stats/ILinkStats.py:15,24; foundation/manager/stats/IMachineStats.py:15,24; foundation/manager/terminal/core/IConsoleAdapter.py (7); foundation/manager/terminal/core/ITerminalSession.py (5); foundation/cli/command/Command.py:30; foundation/cli/ui/setting/OptionsHandler.py:23	-	(none)	n/a-internal (Go interfaces make these unrepresentable)	1 (programmer error only)
ImportError	builtin (Exception)	(bare re-raise: `raise ImportError from e`)	foundation/factory/Factory.py:26	src/kathara.py (-> critical "({type}) `{e.name}` is not installed in your system", exit 1); foundation/factory/Factory.py:22 (dispatch)	(none)	n/a-internal (static linking; cannot occur)	1
RuntimeError	builtin (Exception)	(bare; Windows console reader shutdown signal)	foundation/manager/terminal/console/WindowsConsoleAdapter.py:255	foundation/manager/terminal/* generic `except Exception` handlers	(none)	n/a-internal (terminal integration rebuilt per spec §3.3)	-
AttributeError	builtin (Exception)	(bare; __getattr__ protocol for missing addon attribute)	foundation/setting/SettingsAddon.py:15	auth/PrivilegeHandler.py:31 (unrelated site, swallow)	(none)	n/a-internal (typed settings struct removes this)	-
io.UnsupportedOperation	OSError/ValueError	To create a file from stream, you must open it with read permissions.	foundation/model/FilesystemMixin.py:178	foundation/model/FilesystemMixin.py:177 (detects unreadable stream then raises own)	(none — map to Invocation)	wrapped -> ErrInvocation	1
StopIteration	builtin	(control flow)	(generator protocol)	cli/command/ExecCommand.py:113; cli/ui/utils.py:65; manager/docker/DockerLink.py:291; manager/docker/DockerMachine.py:1064; manager/kubernetes/KubernetesLink.py:265; manager/kubernetes/KubernetesMachine.py:743,945,973,1045; lab-checker:utils.py:28, checks/InterfaceIPCheck.py:25	(none)	n/a-internal (Go iterators/channels)	-
KeyboardInterrupt	BaseException	(control flow)	(SIGINT)	src/kathara.py (-> warning + exit 0); manager/docker/DockerMachine.py:948 (during exec stream -> stop)	(none)	n/a (Go signal handling; preserve exit 0 + wipe warning)	0
Exception (bare)	BaseException	(no message; raised bare as WS-closed signal)	manager/kubernetes/terminal/session/KubernetesWSTerminalSession.py:34	same file :42,50,67,86 and terminal runner generic handlers	(none)	n/a-internal (terminal integration rebuilt)	-
# ---- external library exceptions caught by Kathara (translation table — the Go docker/k8s clients return these differently) ----
docker.errors.APIError	docker SDK	(external)	docker SDK	manager/docker/DockerImage.py:149 (swallow check_for_updates failure, debug log),153 (image not found locally -> try Docker Hub pull),161 (-> ConnectionError if 'dial tcp' in explanation else DockerImageNotFoundError); manager/docker/DockerMachine.py:385 (create container: plain `raise e`),421 (-> DockerPluginError on 500 network/endpoint-does-not-exist else re-raise),513 (-> MountDeniedError on 500 'Mounts denied' / DockerPluginError on network-does-not-exist else re-raise),871 (-> MachineBinaryError via OCI_RUNTIME_RE else re-raise),951 (swallow during stream close)	(translated)	wrapped: inspect errdefs/status codes from github.com/docker/docker/client and map to the same Kathara errors	-
docker.errors.NotFound	docker SDK	(external)	docker SDK	manager/docker/DockerPlugin.py:48 (-> DockerPluginError "not found on remote"); manager/docker/stats/DockerLinkStats.py:45, manager/docker/stats/DockerMachineStats.py:64 (-> StopIteration/skip)	(translated)	wrapped (errdefs.IsNotFound)	-
docker.errors.DockerException	docker SDK	(external)	docker SDK	manager/docker/DockerManager.py:72 (-> DockerDaemonConnectionError)	(translated)	wrapped	-
requests.exceptions.ConnectionError	requests	(external)	requests	manager/docker/DockerManager.py:49 (-> DockerDaemonConnectionError); webhooks/DockerHubApi.py:35,71, webhooks/GitHubApi.py:20 (-> HTTPConnectionError, DEFERRED)	(translated)	wrapped	-
requests.exceptions.Timeout	requests	(external)	requests	webhooks/DockerHubApi.py:33,69; webhooks/GitHubApi.py:18 (-> HTTPConnectionError, DEFERRED)	(translated)	wrapped	-
kubernetes.client.rest.ApiException	k8s SDK	(external)	k8s SDK	manager/kubernetes/KubernetesConfigMap.py:52 (-> None); manager/kubernetes/KubernetesLink.py:193 (swallow); manager/kubernetes/KubernetesMachine.py:366 (409 -> MachineAlreadyExistsError else re-raise),687 (swallow during undeploy shutdown-commands),836 (plain `raise e`); manager/kubernetes/KubernetesManager.py:141 (403 Forbidden -> LabAlreadyExistsError else re-raise); manager/kubernetes/KubernetesNamespace.py:37,52 (-> None/swallow); manager/kubernetes/KubernetesSecret.py:65 (swallow)	(translated)	wrapped (k8s.io/apimachinery apierrors.IsConflict etc.)	-
pywintypes.error	pywin32	(external)	pywin32	manager/docker/DockerManager.py:51 (-> DockerDaemonConnectionError); manager/docker/terminal/session/DockerNPipeTerminalSession.py:37 (re-raise unless benign),85 (swallow)	(translated)	wrapped (go-winio errors; terminal rebuilt)	-
aem.findapp.ApplicationNotFoundError	appscript (macOS)	(external)	appscript	setting/Setting.py:288 (-> SettingsError "Terminal Emulator `%s` not valid! ...")	(translated)	wrapped (exec osascript per spec §6)	-
# ---- trdparty (DEFERRED — vendored consolemenu replaced by bubbletea per spec §3.2) ----
UserQuit	Exception (trdparty/consolemenu)	(no message; menu quit signal)	trdparty/consolemenu/prompt_utils.py:134 (DEFERRED)	cli/ui/setting/utils.py:125 (-> return to menu)	(none)	n/a-internal (bubbletea rebuild)	-
