file	class_or_func	name	python_type	none_meaning_vs_empty	go_representation
model/Machine.py	Machine.get_cpu	return	Optional[int]	None = no CPU limit (nano_cpus=None); 0 is a possible computed value passed through (Docker treats 0 as unset, coincidentally same)	*int64; nil = unset, do not collapse to 0
model/Machine.py	Machine.pack_data	return	Optional[bytes]	None = no files to upload (skip copy_files / no ConfigMap); callers use truthy check so b"" conflated with None	[]byte; nil/len==0 = nothing to pack
model/Machine.py	Machine.update_meta	each key in args	Dict[str, Any] with None values	Per-key "in args and args[k] is not None" gate: None = flag not provided (skip); False/0/"" ARE applied (e.g. num_terms=0, ipv6=False). privileged/bridged additionally require truthy	options struct with pointer fields (*bool, *string, *int, slices); nil = not provided
model/Machine.py	Machine.get_envs/get_ulimits	return	Dict (falsy-guarded)	"if self.meta['envs'] else {}" - None and {} conflated; only emptiness matters	map[string]string; nil and empty equivalent
model/Machine.py	Machine.meta	_bridge_connected	presence-only key (True)	Key presence = bridge already connected in create(); deleted after start(). Value irrelevant	internal bool field on deploy state, not in Meta
model/Interface.py	Interface.__init__	mac_address	Optional[str]	None = generate at deploy; validation regex only runs "if self.mac_address" so "" skips validation and acts as unset	Interface.MAC string; "" = auto (spec §4.1)
model/Link.py	Link	api_object	Any = None	None = network not deployed; for BRIDGE_LINK_NAME may legitimately be None when Docker default bridge missing (get_docker_bridge)	`any` nil / typed pointer per backend
model/Link.py	Link	external	List[ExternalLink] = []	Empty list = no external links; never None. DEFERRED feature (lab.ext §0.3) but field must exist for parse error	nil slice; feature gated -> FeatureNotAvailable
model/Lab.py	Lab.__init__	name	Optional[str]	None = unnamed lab -> hash derived FROM PATH ("path if self._name is None else self._name"); "" is NOT None -> hashes the empty string. Tri-state matters	explicit constructors NewLab(name string) / NewLabFromPath(path string); internally name *string if setter parity needed
model/Lab.py	Lab.__init__	path	Optional[str] = None	Truthy check "if path:": None OR "" -> in-memory fs; non-empty -> osfs. But hash derivation above uses name is None + path (may be None -> Python would crash on hash(None) if both None)	path string; "" = memory fs
model/Lab.py	Lab	description/version/author/email/web	Optional[str] = None	None = metadata absent (line omitted from __str__); "" conflated with None by truthy checks	string; "" = absent
model/Lab.py	Lab	shared_path	Optional[str] = None	None = shared folder not created (mem fs, OSError, or shared_mount off); set only by create_shared_folder	string; "" = not created
model/Lab.py	Lab.remove_machine	name / machine	Optional[str] / Optional[Machine]	Exactly-one-of: both None -> InvocationError; name is None -> use machine.name	two methods RemoveMachine(name string) / RemoveMachineObj(m *Machine), or (name string, m *Machine) with nil/"" validation
model/Lab.py	Lab.add_option	value	Any	"if value is not None": None = option not stored at all (absence = fall back to Setting); False/0/"" ARE stored and override Setting. hosthome_mount/shared_mount tri-state from CLI	general options as map[string]any, insert only non-nil; CLI feeds *bool
model/Lab.py	Lab.add_global_machine_metadata	value	Any	Same is-not-None gate as add_option; privileged=False stored (and then is_privileged reads it as override False)	map insert only non-nil; callers pass pointers
model/Lab.py	Lab.name setter	value	str	Setting name regenerates hash; None would crash generate_urlsafe_hash (re.sub on None) - unreachable in practice	SetName(string) recomputing hash
model/Lab.py	Lab.connect_machine_to_link	machine_iface_number / mac_address	int = None / Optional[str]	Pass-through to Machine.add_interface: None = auto number / auto MAC	*int / string ""
model/Lab.py	Lab.attach_external_links	external_links	Dict[str, List[ExternalLink]]	DEFERRED (lab.ext §0.3): port as FeatureNotAvailable error	n/a (returns ErrFeatureNotAvailable)
utils.py	get_executable_path	return	Optional[str]	None = kathara executable not found (neither file nor in PATH); caller open_machine_terminal raises FileNotFoundError	(string, error) or (string, bool)
utils.py	convert_win_2_linux	return	Optional[bytes]	Returns None in write=True mode (in-place side effect) and bytes in read mode; also returns None implicitly when write=True and binary	split into two funcs: ConvertWin2Linux(path) ([]byte, error) and ConvertWin2LinuxInPlace(path) error
utils.py	check_single_not_none_var / check_required_single_not_none_var	kwargs	Any (is not None counted)	Counts params that are not None - falsy-but-set values ("" lab_name, empty Lab) count as provided even though downstream truthy dispatch ignores them (see IManager row)	validate exactly-one on pointer fields of an options struct; nil = absent
utils.py	get_current_user_uid_gid	return	(Optional[int], Optional[int])	(None, None) on Windows (lambda: (None, None)); unix callers assume ints	platform-specific build files returning (int, int); Windows variant never called
utils.py	get_current_user_info	return	Any (pwd struct or None)	None on Windows	platform-specific; not exposed cross-platform
utils.py	parse_cd_mac_address	return mac	Tuple[str, str] declared, actually Optional second	mac = None when value has no "/" separator; "" segments filtered out before length check	(cd string, mac string); "" = no MAC
utils.py	exec_by_platform	return	Any	Implicit None on unknown platform (unreachable in practice)	exhaustive GOOS switch, no nil path
utils.py	re_search_fail	return	Match (raises instead of None)	Raises ValueError when no match - Python replaces the None-return of re.search	(match, error)
setting/Setting.py	Setting	__instance	Optional[Setting] singleton	None = not yet constructed. REBUILT §0.2 #10: becomes constructed value, no singleton	no singleton; plain constructed *Settings
setting/Setting.py	Setting.__init__	addons	Optional[SettingsAddon]	None only transiently before load_settings_addon; __getattr__ delegates to it	REBUILT §3.2: flat typed struct, no addon indirection; keep JSON schema
setting/Setting.py	Setting.load_from_disk/save_to_disk	path	Optional[str] = None	"is not None" check: None = default ~/.config/kathara.conf; "" would join to "kathara.conf" (cwd) - different from None, but no caller passes ""	path string; "" = default path
setting/Setting.py	Setting.check_image	image	str = None	"if not image": None and "" both = check default Setting.image	string; "" = default
setting/Setting.py	Setting.check_terminal	terminal	str = None	"if not terminal": None/"" = check default Setting.terminal; special value "TMUX" bypasses check	string; "" = default
setting/Setting.py	Setting.check	last_checked	float (epoch)	Initialized to now-ONE_WEEK meaning "check immediately". Webhook version check DEFERRED §0.3	int64 unix time; version-check webhook removed
setting/addon/DockerSettingsAddon.py	DockerSettingsAddon	remote_url	Optional[str] = None	None = local Docker socket (from_env); non-None = remote TLS client. Checked with "is None" everywhere; "" would be used as (invalid) URL. Persisted as JSON null in kathara.conf - schema frozen §0.4	*string; nil = local; must round-trip JSON null vs ""
setting/addon/DockerSettingsAddon.py	DockerSettingsAddon	cert_path	Optional[str] = None	None = no CA cert for TLS (docker.tls.TLSConfig(ca_cert=None)); only meaningful with remote_url	*string; nil = none; JSON null round-trip
setting/addon/DockerSettingsAddon.py	DockerSettingsAddon	network_plugin	Optional[str] default "kathara/katharanp_vde"	Effectively always set; None only if user writes null into config	string with default; treat null as default
setting/addon/KubernetesSettingsAddon.py	KubernetesSettingsAddon	api_server_url / api_token	Optional[str] = None	None = use kubeconfig/in-cluster; load_kube_config falls back and raises ConnectionError "if not api_url or not token" ("" conflated with None there). JSON null in config	*string for config fidelity; "" behaves as unset
setting/addon/KubernetesSettingsAddon.py	KubernetesSettingsAddon	image_pull_policy	Optional[str] default "IfNotPresent"	Practically always a string	string
setting/addon/KubernetesSettingsAddon.py	KubernetesSettingsAddon	docker_config_json	Optional[str] = None	Truthy check in KubernetesSecret.create and _build_definition: None and "" both = no private-registry secret / no image_pull_secrets	*string in config; emptiness check for behavior
foundation/setting/SettingsAddon.py	SettingsAddon.merge	settings	Dict = None	None = return own dict; non-empty dict = update it in place	REBUILT §3.2
foundation/manager/IManager.py	IManager.* (mirrored by manager/Kathara.py facade, DockerManager, KubernetesManager)	lab_hash / lab_name / lab	Optional[str] / Optional[str] / Optional[Lab]	Exactly-one-of (check_required_single_not_none_var) for undeploy_lab/connect_tty/exec/get_*_api_object/get_*_stats(single); at-most-one (check_single_not_none_var) for get_*_api_objects/get_*_stats(plural) where all-None = ALL scenarios. TRAP: check counts "is not None" but dispatch is "if lab: ... elif lab_name:" - lab_name="" passes check yet falls through leaving lab_hash None = unfiltered	LabRef options struct {Hash string; Name string; Lab *Lab}; validate exactly/at-most one non-zero; document ""==absent (divergence-free because "" was pathological)
foundation/manager/IManager.py	deploy_lab (all impls)	selected_machines / excluded_machines	Optional[Set[str]]	TRUTHY checks: None and empty set BOTH mean "deploy all"; both-provided error only when both non-empty	nil or empty set = all on deploy path; keep set type map[string]struct{}
foundation/manager/IManager.py	undeploy_lab -> DockerMachine/KubernetesMachine.undeploy	selected_machines / excluded_machines	Optional[Set[str]]	IS-NOT-NONE checks: None = undeploy all; EMPTY SET = undeploy NOTHING (filter keeps no containers). Asymmetric with deploy - must preserve	nil set = all; non-nil empty set = none; never normalize nil<->empty
foundation/manager/IManager.py	undeploy_lab / DockerLink.undeploy / KubernetesLink.undeploy	selected_links	Optional[Set[str]]	None = undeploy all scenario links; empty set = undeploy none (is-not-None filter)	nil vs empty set distinction preserved
foundation/manager/IManager.py	connect_tty / connect_tty_obj	shell	str = None	Falsy check downstream: None/"" = use container's configured shell (label/_MEGALOS_SHELL, else Setting.device_shell)	string; "" = device default
foundation/manager/IManager.py	get_machines_stats / get_links_stats	machine_name / link_name	str = None	Truthy filter: None/"" = no name filter	string; "" = no filter
foundation/manager/IManager.py	connect_tty / exec	wait	Union[bool, Tuple[int, float]]	Polymorphic: True = wait forever, False = don't, (n, interval) = bounded retries; invalid types -> ValueError	WaitPolicy struct {Enabled bool; Retries *int; Interval time.Duration}; Retries nil = infinite
foundation/manager/IManager.py	exec / exec_obj	return	Union[IExecStream, Tuple[bytes, bytes, int]] via stream flag	stream=True returns stream object, else full (stdout, stderr, exit) - two shapes in one signature	two methods: Exec(...)(stdout, stderr []byte, code int, err error) and ExecStream(...)(*ExecStream, error)
foundation/manager/IManager.py	get_machine_stats / get_machine_stats_obj	yielded value	Generator[Optional[IMachineStats]]	Yields None when device not found (generator stays alive)	iterator returning (*MachineStats, bool found, error); inventory fields only per §0.3 exception
foundation/manager/IManager.py	get_link_stats / get_link_stats_obj	yielded value	Generator[Optional[ILinkStats]]	Yields None when network not found	(*LinkStats, bool, error)
foundation/manager/IManager.py	get_machines_stats	yielded dict	Dict[str, IMachineStats]	Yields empty dict() when no containers match (not None) - CLI renders "No Devices Found"	empty map, distinct from stream end
foundation/manager/IManager.py	get_lab_from_api	lab_hash / lab_name	Optional[str]	DIFFERENT idiom: "if not lab_hash and not lab_name" - here "" IS conflated with None (both empty -> InvocationError); lab_name truthy wins over lab_hash	two string params; both "" -> ErrInvocation
foundation/manager/IManager.py	all managers	all_users -> user filter	bool -> Optional[str] user	user_name = current user if not all_users else None; user=None = no user label filter = all users (needs root in stats paths, PrivilegeError)	user string; "" = all users; root check where Python has it
manager/Kathara.py	Kathara	__instance	Optional[Kathara] singleton	None = not constructed; get_instance lazily builds from Setting.manager_type via reflection Factory	REBUILT §0.2 #7/#10: explicit registry + constructed *Client
manager/docker/DockerManager.py	DockerManager.__init__	remote_url	Optional[str] from settings	"is None" -> docker.from_env; else remote DockerClient with TLSConfig(ca_cert=cert_path possibly None)	*string; nil = env client
manager/docker/DockerManager.py	DockerManager.connect_machine_to_link	iface_number	Optional[int] local	None = let Machine.add_interface auto-number; computed explicitly for bridged devices (bridged_iface+1 or max+1)	*int
manager/docker/DockerManager.py	DockerManager.get_lab_from_api / update_lab_from_api	iface_mac_addr	Optional[str] local	None = "kathara.mac_addr" absent from DriverOpts (MAC was auto-generated at deploy; cannot reconstruct - see MAC finding memory)	string; "" = unknown/auto
manager/docker/DockerManager.py	DockerManager.get_lab_from_api / update_lab_from_api	network_options["DriverOpts"]	Dict or JSON null	"is not None" guard exists BUT the sort key on line 749/809 subscripts DriverOpts["kathara.iface"] BEFORE the guard - Python would TypeError on null DriverOpts; port the de-facto assumption (non-null for kathara networks), note in DIVERGENCES	map[string]string possibly nil; nil map reads are safe in Go - keep guard order identical
manager/docker/DockerManager.py	DockerManager.get_machine_stats / get_link_stats	machines_stats_next	Dict (falsy check)	next() yields {} when nothing found -> "if machines_stats_next:" false -> yield None	len(map)==0 -> (nil, false)
manager/docker/DockerManager.py	DockerManager.wipe	user_name	Optional[str]	None = wipe all users (only when all_users and not remote); remote+all_users forced back to current user with warning	string; "" = all users
manager/docker/DockerMachine.py	DockerMachine.deploy_machines	selected_machines / excluded_machines	Set[str] = None	Truthy filters: None or empty = deploy all	nil-or-empty = all
manager/docker/DockerMachine.py	DockerMachine.undeploy	selected_machines / excluded_machines	Set[str] = None	is-not-None filters: None = all containers of lab; empty set = keep none selected (delete nothing) / exclude nothing (delete all) respectively	nil = all; empty non-nil honored literally
manager/docker/DockerMachine.py	DockerMachine.create	ports	Optional[Dict] local	None = no port bindings (Docker SDK None); {} never passed	nil map to SDK equivalent (PortMap nil)
manager/docker/DockerMachine.py	DockerMachine.create	first_machine_iface / first_network	Optional[Interface] / Optional[Network]	None = device has no interfaces -> network_mode "none" (or bridge if bridged); non-None -> networking_config for eth0	*Interface / network handle pointer; nil = none-network
manager/docker/DockerMachine.py	DockerMachine.create	networking_config	Optional[Dict]	None = no endpoint config (no first iface)	nil pointer
manager/docker/DockerMachine.py	DockerMachine.create	cap_add / entrypoint / command args	None when unset	cap_add=None when privileged (capabilities implied); entrypoint=None = image default; args falsy -> None = image CMD	nil slices to SDK; do not send empty slices (Docker distinguishes)
manager/docker/DockerMachine.py	DockerMachine.connect	shell	str = None	"if not shell": None/"" -> shlex.split(container label shell)	string; "" = label shell
manager/docker/DockerMachine.py	DockerMachine.connect / exec	wait unpack	Union[bool, Tuple[int,float]] -> n_retries Optional[int]	tuple -> bounded (must be len 2 else ValueError); bool -> n_retries=None meaning infinite	WaitPolicy as above; Retries *int nil = infinite
manager/docker/DockerMachine.py	DockerMachine._wait_startup_execution	n_retries	Optional[int] = None	None = retry forever; negative normalized to abs()	*int; nil = infinite
manager/docker/DockerMachine.py	DockerMachine._exec_run	return exit_code	Optional[int] in result dict	None when stream/socket mode (exec still running); int otherwise; caller DockerExecStream.exit_code() int(None) would raise if called before exit	separate return paths: streaming API defers exit code behind (int, error)
manager/docker/DockerMachine.py	DockerMachine._exec_run	demux output	Tuple[Optional[bytes], Optional[bytes]]	Each channel None when no data; falsy checks conflate None and b""	stdout, stderr []byte; nil ok
manager/docker/DockerMachine.py	DockerMachine.get_machines_api_objects_by_filters	lab_hash / machine_name / user	str = None	Truthy checks: None/"" = omit that label filter; user=None = all users	string ""; omit filter when empty
manager/docker/DockerMachine.py	DockerMachine.get_machines_stats	user	str = None	user None requires is_admin else PrivilegeError; None = stats of all users	string ""; explicit allUsers bool at facade
manager/docker/DockerMachine.py	DockerMachine.get_container_name	lab_hash	str	BUG (port as-is §0.1): `lab_hash if "_%s" % lab_hash else ""` is always truthy so lab_hash never blanked; record in DIVERGENCES.md	string; replicate current (always include hash)
manager/docker/DockerMachine.py	DockerMachine.connect	startup log output	exec_result['output'] Optional[bytes]	Falsy checks: None/b"" -> no chardet, no log print	[]byte nil checks via len
manager/docker/DockerLink.py	DockerLink.deploy_links	selected_links / excluded_links	Set[str] = None	Truthy: None or empty = deploy all links	nil-or-empty = all
manager/docker/DockerLink.py	DockerLink.undeploy	selected_links	Optional[Set[str]]	is-not-None: None = all; empty set = delete nothing	nil = all; empty honored
manager/docker/DockerLink.py	DockerLink.create	filter_lab_hash / filter_user	Optional[str] locals	None = omit label filter depending on shared_cds mode (LABS: no hash; USERS: no user)	string ""; omit when empty
manager/docker/DockerLink.py	DockerLink.get_docker_bridge	return	Union[None, Network]	None = Docker default "bridge" network not found; stored into link.api_object for BRIDGE_LINK_NAME	(*Network, bool) or nil pointer
manager/docker/DockerLink.py	DockerLink.get_links_api_objects_by_filters	lab_hash / link_name / user	str = None	Truthy: None/"" = omit filter	string ""
manager/docker/DockerLink.py	DockerLink._delete_link	external_links	Optional[List[str]] local	Label "external" empty string -> None -> skip external-interface cleanup. DEFERRED feature (lab.ext) but label always written	strings.Split guarded by label != ""; external teardown behind linux build tag post-1.0
manager/docker/DockerLink.py	DockerLink.wipe	user / user_label	str = None	None = all users; forced None when shared_cds==USERS regardless of user	string ""
manager/docker/DockerPlugin.py	DockerPlugin.plugin_store_path	hosttmp_mount	Optional[str] local	None = "tmp" mount not found in plugin settings -> FileNotFoundError	(string, bool) scan; error if absent
manager/docker/DockerPlugin.py	DockerPlugin._xtables_lock_mount	return	str ("" as null)	"" = no xtables.lock mount needed (nftables host / non-microsoft kernel); non-empty = path to mount	string ""; empty = no mount (matches plugin config contract)
manager/docker/DockerPlugin.py	DockerPlugin._get_plugin_state	return	Dict	{} = state file missing (then plugin_pid would KeyError - only called for VDE where file exists)	(map, error); missing file -> error at pid lookup like Python KeyError
manager/docker/stats/DockerMachineStats.py	DockerMachineStats	user	Optional[str]	Practically always set from label; None only if label missing -> JSON null in to_dict	string (inventory field, part of frozen JSON contract)
manager/docker/stats/DockerMachineStats.py	DockerMachineStats	status	Optional[str]	None until first update(); part of INVENTORY exception §0.3 - populated from container status	string; "" until populated
manager/docker/stats/DockerMachineStats.py	DockerMachineStats	pids	Optional[int]	None until update; 0 when 'current' key missing. DEFERRED (resource sampling)	DEFERRED post-1.0
manager/docker/stats/DockerMachineStats.py	DockerMachineStats	_prev_stats	Optional[Dict[str, Any]]	None = first sample -> no CPU delta computable. DEFERRED (resource sampling)	DEFERRED post-1.0
manager/docker/stats/DockerLinkStats.py	DockerLinkStats	enable_ipv6	bool via attrs.get('EnableIPv6')	Docstring: "True if enabled, else None" - attrs.get returns None if key absent; to_dict may emit null	*bool if JSON fidelity needed; else bool default false
manager/docker/stats/DockerLinkStats.py	DockerLinkStats	external	List[str]	Label "" -> [] (falsy split guard); [] = no externals	nil slice
manager/docker/exec_stream/DockerExecStream.py	DockerExecStream.exit_code	ExitCode	int(None) hazard	exec_inspect ExitCode is null while running -> int(None) TypeError if called early; contract: call after stream end	(int, error); error while running
foundation/manager/exec_stream/IExecStream.py	IExecStream.stream_next	end of stream	StopIteration	Stream end signaled by exception, not None	(chunk []byte pair, error); io.EOF at end
manager/kubernetes/KubernetesMachine.py	KubernetesMachine.deploy_machines	selected_machines / excluded_machines	Set[str] = None	Truthy: None/empty = all; wait-thread arg: set(...) if selected or excluded else None - None = wait for whole lab	nil = all
manager/kubernetes/KubernetesMachine.py	KubernetesMachine._wait_machines_startup	selected_machines	Set[str] (may be None)	"if not selected_machines or name in ...": None/empty = count every pod	nil-or-empty = all
manager/kubernetes/KubernetesMachine.py	KubernetesMachine.undeploy	selected_machines / excluded_machines	Set[str] = None	is-not-None filter; PLUS "machines_to_watch = selected_machines if selected_machines else machines_to_watch" - EMPTY selected set deletes nothing but watches ALL pods (thread hangs until timeout/no pods): preserve literally	nil = all; empty set honored (delete none, watch all)
manager/kubernetes/KubernetesMachine.py	KubernetesMachine.connect	shell	Union[str, List[str]] = None	Falsy: None/""/[] -> _MEGALOS_SHELL env value if present else Setting.device_shell	[]string; nil = pod default
manager/kubernetes/KubernetesMachine.py	KubernetesMachine.get_env_var_value_from_pod	return	Optional[str]	None = pod has no containers, no env list, or var absent; callers fall back with truthy check (so env set to "" also falls back)	(string, bool found); "" treated as unset by callers
manager/kubernetes/KubernetesMachine.py	KubernetesMachine.exec	stdin_buffer	List[Union[str, bytes]] = None	None -> [] (no stdin writes); buffer is destructively popped	[][]byte; nil = none
manager/kubernetes/KubernetesMachine.py	KubernetesMachine._exec_stream	yielded tuple	(Optional[bytes], Optional[bytes])	Each of stdout/stderr None when channel had no data this iteration; encode only if truthy	(stdout, stderr []byte) with nil channels
manager/kubernetes/KubernetesMachine.py	KubernetesMachine._build_definition	config_map	Optional[V1ConfigMap]	None = no machine files -> no hostlab volume/mount in pod spec	*ConfigMap; nil = skip volume
manager/kubernetes/KubernetesMachine.py	KubernetesMachine._build_definition	container_ports / resources / entrypoint / args	Optional locals	None = omit from container spec (no ports / no limits / image defaults); memory/cpus falsy checks conflate 0	nil slices/pointers in k8s API structs (client-go uses pointers natively)
manager/kubernetes/KubernetesMachine.py	KubernetesMachine.get_machines_api_objects_by_filters	lab_hash / machine_name	str = None	Falsy lab_hash -> enumerate ALL kathara namespaces; machine_name falsy -> no label filter	string ""; empty = all namespaces
manager/kubernetes/KubernetesMachine.py	KubernetesMachine.get_machines_stats	yielded dict	Dict	yields dict() when no pods (same as Docker)	empty map
manager/kubernetes/KubernetesLink.py	KubernetesLink.deploy_links	selected_links / excluded_links	Set[str] = None	Truthy: None/empty = all	nil-or-empty = all
manager/kubernetes/KubernetesLink.py	KubernetesLink.undeploy	selected_links	Optional[Set[str]]	is-not-None: None = all; empty = none. NOTE: matched against k8s NETWORK names (metadata.name), not CD names	nil = all; empty honored
manager/kubernetes/KubernetesLink.py	KubernetesLink.get_links_api_objects_by_filters	lab_hash / link_name	str = None	Falsy lab_hash -> all kathara namespaces	string ""
manager/kubernetes/KubernetesConfigMap.py	KubernetesConfigMap.deploy_for_machine / _build_for_machine	return	Optional[V1ConfigMap]	None = device has no files (pack_data None) -> deployment gets no hostlab volume	(*ConfigMap, error); nil,nil = nothing to deploy
manager/kubernetes/KubernetesNamespace.py	KubernetesNamespace.create	return	Optional[V1Namespace]	None = ApiException swallowed (namespace already exists or forbidden) - deploy continues; error info LOST in Python	(*Namespace, error); callers ignore already-exists like Python (document)
manager/kubernetes/KubernetesNamespace.py	KubernetesNamespace.undeploy	lab_hash	str = None	Default None never used by callers; delete_namespace(None) would fail	required string param
manager/kubernetes/KubernetesNamespace.py	KubernetesNamespace.get_namespace	return	Optional[V1Namespace]	None = namespace not found	(*Namespace, bool)
manager/kubernetes/KubernetesSecret.py	KubernetesSecret._create_secret	return	Optional[V1Secret]	None = ApiException swallowed (already exists etc.); create() appends only non-None	(*Secret, error) with ignore-exists semantics
manager/kubernetes/KubernetesConfig.py	KubernetesConfig.load_kube_config	api_url / token	Optional[str] from settings	"if not api_url or not token": None and "" both -> ConnectionError (no config source)	*string settings; emptiness check
manager/kubernetes/KubernetesManager.py	KubernetesManager.undeploy_lab	networks	Optional[List] local	None = not yet fetched; lazily fetched; "if not networks else networks" refetches on EMPTY list too (double API call, harmless) - port truthiness as-is	[]Network with fetched bool; or replicate len-based refetch
manager/kubernetes/KubernetesManager.py	KubernetesManager.undeploy_lab	networks_to_delete	Optional[Set[str]] local	None = delete ALL scenario links (passed to k8s_link.undeploy); set = selective. Line 333: "ntd & selected if ntd else selected" - EMPTY set is falsy -> replaced by selected set entirely	nil set = delete-all sentinel; preserve falsy-empty replacement exactly
manager/kubernetes/KubernetesManager.py	KubernetesManager.undeploy_lab	running_machines	Set or {} local	{} when no machine selection - used in namespace-undeploy predicate with truthy ops	empty set
manager/kubernetes/KubernetesManager.py	KubernetesManager.get_machines_stats	lab_hash	Optional[str]	"lab_hash.lower() if lab_hash else None" - preserves None passthrough (all namespaces)	string ""; lower only when non-empty
manager/kubernetes/KubernetesManager.py	KubernetesManager.get_lab_from_api	iface_mac_addr	Optional[str] local	None = "mac" key absent in CNI annotation (auto MAC)	string ""
manager/kubernetes/KubernetesManager.py	KubernetesManager.get_lab_from_api	shell meta	value may be None	add_meta("shell", get_env_var_value_from_pod(...)) can store None when _MEGALOS_SHELL missing - meta["shell"]=None then flows into labels/get_shell	Meta.Shell string; "" when env missing (behavioral match: falsy fallback downstream)
manager/kubernetes/KubernetesManager.py	KubernetesManager.exec	wait	Union[bool, Tuple]	Truthy wait -> warning "no effect on Megalos"; value otherwise ignored	WaitPolicy accepted, warn when Enabled
manager/kubernetes/stats/KubernetesMachineStats.py	KubernetesMachineStats	status / assigned_node	Optional[str]	None until update(); assigned_node = spec.node_name is None until pod scheduled; status part of inventory exception	string ""; JSON contract check for null vs ""
manager/kubernetes/stats/KubernetesMachineStats.py	KubernetesMachineStats._get_detailed_machine_status	string_status	Optional[str] local	None = neither terminated nor waiting -> fall back to pod phase; terminated.reason None -> "Terminating"	string "" sentinel with same fallback chain
manager/kubernetes/stats/KubernetesMachineStats.py	KubernetesMachineStats.__init__	container_statuses	Optional[List]	None/empty -> image "N/A", status falls back to phase	nil slice guard
manager/kubernetes/exec_stream/KubernetesExecStream.py	KubernetesExecStream.exit_code	returncode	raises ValueError with OCI text	Missing-binary detection via exception text, not None	(int, error) mapping to MachineBinaryError
parser/netkit/LabParser.py	LabParser.parse	Lab ctor	Lab(None, path=path)	name=None so hash derives from path - load-bearing use of Lab name tri-state	NewLabFromPath(path)
parser/netkit/LabParser.py	LabParser.parse	assign_meta_to_machine return	Optional[Any]	"is not None" -> overwrite warning; previous falsy value (bridged=false) still warns - do not use truthiness	(prev, existed bool); warn on existed
parser/netkit/LabParser.py	LabParser.parse	mac_address from parse_cd_mac_address	Optional[str]	None = "cd" form without /mac	string ""
parser/netkit/DepParser.py	DepParser.parse	return	Optional[List[str]]	None = no lab.dep OR empty file (skip+warn); non-None list -> apply_dependencies + has_dependencies=True. Caller LstartCommand uses truthy check so [] (comments-only lab.dep) behaves like None - conflation is load-bearing for has_dependencies	[]string nil; callers check len>0 (matches truthy semantics)
parser/netkit/OptionParser.py	OptionParser.parse	options	List[str] (falsy check)	None/[] -> {} (no global options)	nil slice ok
parser/netkit/FolderParser.py	FolderParser.parse	Lab ctor	Lab(None, path=path)	Same as LabParser: hash from path	NewLabFromPath
parser/netkit/ExtParser.py	ExtParser	whole file	-	DEFERRED §0.3 (lab.ext): FeatureNotAvailable	n/a
