file	line	mechanism	pool_size	what_is_parallelized	error_semantics_observed	ordering_of_results_matters	go_strategy
src/Kathara/manager/docker/DockerLink.py	202	multiprocessing.dummy.Pool + map, chunked loop	cpu_count()	wipe: _undeploy_link per Docker network	complete-chunk-then-raise-first-arriving; sibling errors swallowed; remaining chunks not submitted	no	errgroup + SetLimit(NumCPU)
src/Kathara/manager/docker/DockerLink.py	283	multiprocessing.dummy.Pool + map inside while-True generator	cpu_count()	get_links_stats: load_link_stats mutates shared networks_stats dict per network, each generator step	complete-chunk-then-raise-first-arriving out of the generator; shared-dict mutation relies on GIL	no	DEFERRED (resource-stats sampling); if ported: mutex-guarded map
src/Kathara/manager/kubernetes/KubernetesMachine.py	184	threading.Thread (non-daemon) + join() at 204	1 thread	deploy_machines: _wait_machines_startup runs CONCURRENTLY with the deploy pool; watches pod events via kubernetes watch.Watch().stream, counts ready/failed, dispatches "machines_deploy_started"/"machine_deployed"/"machines_deploy_ended" from the WAIT thread	errors-swallowed: exception in thread target is printed by threading.excepthook to stderr and LOST — join() returns normally, caller cannot see it; join() has NO timeout → hangs forever if ready+failed never reaches len(machines) (watchdog Timer is the only escape)	no (event counting only; per-pod events unordered)	goroutine + done channel/WaitGroup; deliver watch errors over an error channel instead of swallowing; guard EventDispatcher with mutex; overall context timeout replaces the SIGINT watchdog
src/Kathara/manager/kubernetes/KubernetesMachine.py	197	multiprocessing.dummy.Pool + map, chunked loop	cpu_count()	deploy_machines fast path (no lab.dep): _deploy_machine per (name,Machine) = create k8s Deployment (create() swallows nothing itself; JSON/ApiException propagate)	complete-chunk-then-raise-first-arriving; sibling errors swallowed; remaining chunks not submitted; NOTE: if this raises, wait_thread.join() at 204 is never reached but the non-daemon wait thread keeps the process alive stuck in w.stream until the Timer fires SIGINT	no (results discarded)	errgroup + SetLimit(NumCPU); on error cancel the watcher goroutine's context (fixes the Python hang-until-watchdog wart — flag as intentional deviation)
src/Kathara/manager/kubernetes/KubernetesMachine.py	201	sequential for-loop (lab.dep path)	1	deploy_machines when lab.has_dependencies: _deploy_machine per machine in dep order	first-error-aborts-immediately (same wait-thread caveat as line 197)	YES — dep order	sequential loop over dep-ordered slice
src/Kathara/manager/kubernetes/KubernetesMachine.py	238	threading.Timer (one-shot, rescheduled per event at 245) MAX_TIME_ERROR=180s	1 thread each	watchdog inside _wait_machines_startup: if no pod event for 180s, callback (runs on TIMER thread) logs error then os.kill(os.getpid(), SIGINT) → KeyboardInterrupt raised in MAIN thread (main is blocked in Pool.map or join(); the CLI's KeyboardInterrupt handling terminates the run); timer.cancel()+recreate on every watch event; final cancel when all machines counted	timer callback exceptions swallowed (timer thread); SIGINT is the "error channel" — no exception object reaches the deploy code	n/a	resettable time.Timer (or watchdog via time.AfterFunc + Reset) that cancels a context shared by watcher and deployers; log the same message; no signals
src/Kathara/manager/kubernetes/KubernetesMachine.py	599	threading.Thread (non-daemon) + join() at 609	1 thread	undeploy: _wait_machines_shutdown watches for DELETED pod events, dispatches "machines_undeploy_started"/"machine_undeployed"/"machines_undeploy_ended" from wait thread, concurrent with undeploy pool	errors-swallowed (threading.excepthook → stderr, join() returns normally); NO watchdog Timer here (unlike startup) → join() can hang FOREVER if a DELETED event is missed	no	goroutine + error channel + context; add a sane timeout (deviation from Python's infinite hang, document it)
src/Kathara/manager/kubernetes/KubernetesMachine.py	605	multiprocessing.dummy.Pool + map, chunked loop	cpu_count()	undeploy: _undeploy_machine per pod = exec shutdown commands in pod (ApiException/MachineNotRunningError swallowed inside _delete_machine) + delete configmap + delete deployment	complete-chunk-then-raise-first-arriving for NON-swallowed errors (e.g. delete_namespaced_deployment failure); exec errors during shutdown are explicitly swallowed per-machine; remaining chunks not submitted on raise	no	errgroup + SetLimit(NumCPU); keep the per-machine swallow of exec errors
src/Kathara/manager/kubernetes/KubernetesMachine.py	652	multiprocessing.dummy.Pool + map, chunked loop	cpu_count()	wipe: _undeploy_machine per pod (all namespaces)	complete-chunk-then-raise-first-arriving; sibling errors swallowed; remaining chunks not submitted	no	errgroup + SetLimit(NumCPU)
src/Kathara/manager/kubernetes/KubernetesMachine.py	1037	multiprocessing.dummy.Pool + map inside while-True generator	cpu_count()	get_machines_stats: load_machine_stats mutates shared machines_stats dict per pod	complete-chunk-then-raise-first-arriving out of generator; shared-dict mutation relies on GIL	no	DEFERRED (resource-stats sampling)
src/Kathara/manager/kubernetes/KubernetesLink.py	75	multiprocessing.Manager().dict() (REAL child process hosting a proxy dict)	1 manager process	shared network_ids VNI-reservation dict passed via functools.partial into thread-pool workers; pre-seeded with existing cluster VNIs; Manager is overkill since Pool is multiprocessing.dummy (threads) — a plain dict would behave identically under the GIL	proxy-dict ops each atomic, but see line 319: check-then-set across two ops is NOT atomic; Manager process errors would surface as proxy exceptions through map (never observed in practice)	no	plain map[int]struct{} + sync.Mutex owned by the deploy call; no separate process
src/Kathara/manager/kubernetes/KubernetesLink.py	81	multiprocessing.dummy.Pool + map(partial(_deploy_link, network_ids)), chunked loop	cpu_count()	deploy_links: per (name,Link) allocate unique VNI then create NetworkAttachmentDefinition custom object + dispatch "link_deployed" from worker thread	complete-chunk-then-raise-first-arriving; sibling errors swallowed; remaining chunks not submitted; Manager context exits (shuts down manager process) after pool	no (results discarded; Link.api_object set per item)	errgroup + SetLimit(NumCPU) with mutex-guarded VNI allocator
src/Kathara/manager/kubernetes/KubernetesLink.py	152	multiprocessing.dummy.Pool + map, chunked loop	cpu_count()	undeploy: _undeploy_link per network custom object (delete swallows 404-ish ApiException inside _undeploy_link? — no: delete wrapped in try/except ApiException pass, then dispatches event)	complete-chunk-then-raise-first-arriving for non-swallowed errors; per-link ApiException on delete is swallowed (try/except pass); remaining chunks not submitted on raise	no	errgroup + SetLimit(NumCPU); keep per-link swallow
src/Kathara/manager/kubernetes/KubernetesLink.py	169	multiprocessing.dummy.Pool + map, chunked loop	cpu_count()	wipe: _undeploy_link per network custom object (all namespaces)	complete-chunk-then-raise-first-arriving (same per-link swallow as 152)	no	errgroup + SetLimit(NumCPU)
src/Kathara/manager/kubernetes/KubernetesLink.py	257	multiprocessing.dummy.Pool + map inside while-True generator	cpu_count()	get_links_stats: load_link_stats mutates shared networks_stats dict per network	complete-chunk-then-raise-first-arriving out of generator; shared-dict mutation relies on GIL	no	DEFERRED (resource-stats sampling)
src/Kathara/manager/kubernetes/KubernetesLink.py	319	shared-dict check-then-set (LATENT RACE)	n/a	_get_unique_network_id: `while network_id in network_ids: ...` then `network_ids[network_id] = 1` — two threads hashing to the same free VNI can BOTH pass the membership test and reserve the same ID (each proxy op atomic, the pair is not)	race never raises — silent duplicate VNI possible under contention	n/a	make check+reserve one critical section under a sync.Mutex (fixes latent bug; safe deviation, note in port docs)
src/Kathara/webhooks/DockerHubApi.py	90	multiprocessing.dummy.Pool + map (UNCHUNKED — whole image list in one map)	cpu_count()	get_tagged_images: get_image_tag per image, HTTP GET of tags, workers append to shared tagged_images list (GIL-safe list.extend)	complete-all-then-raise-first-arriving (single map call, no chunk loop); HTTPConnectionError from any worker raised after all finish; sibling errors swallowed; result sorted() afterwards so completion order irrelevant	no (sorted at end)	DEFERRED (webhooks/ out of scope)
src/Kathara/foundation/manager/terminal/core/TerminalRunner.py	46	asyncio: new_event_loop + run_forever (blocks calling thread)	1 loop	terminal bridge: multiplexes stdin→session writes, session→stdout, resize events on one event loop; start() blocks until close() stops the loop	all callback errors caught and converted to close() (session.resize/write/read/console.write_stdout wrapped in try/except → close()); nothing propagates to caller; _cleanup is best-effort with blanket except-pass	yes (byte streams must stay ordered — single loop guarantees it)	two goroutines (stdin pump, stdout pump) + signal watcher, ctx cancel + sync.Once for close; per-direction ordering free via single goroutine per direction
src/Kathara/foundation/manager/terminal/core/TerminalRunner.py	136	asyncio run_in_executor (default ThreadPoolExecutor) in _threaded_stdout task	1 worker at a time	blocking session.read(4096) off-loop when session has no fileno (or on Windows); empty read → 30ms sleep poll loop	read exception → close() and task returns; task cancellation in _cleanup with _log_destroy_pending suppression; errors never propagate	yes (sequential await keeps byte order)	plain goroutine doing blocking reads; exit on ctx.Done() or read error → trigger close
src/Kathara/foundation/manager/terminal/core/TerminalRunner.py	167	asyncio loop.add_reader on session fd (Unix fast path)	n/a	fd-readiness callback _on_session_readable: read 4096 → write_stdout	read/write exception or EOF → close(); reader removed in _cleanup (except-pass)	yes (loop serializes callbacks)	goroutine with blocking read on the fd/net.Conn; no readiness API needed in Go
src/Kathara/foundation/manager/terminal/core/TerminalRunner.py	203	asyncio task.cancel() over all_tasks + tracked tasks in _cleanup	n/a	teardown of pump tasks; also removes fd readers, resize watcher, stdin reader; closes session; restores termios	every step wrapped in try/except pass — errors-swallowed by design (best-effort cleanup)	no	sync.Once close func: cancel ctx, close conn (unblocks readers), defer terminal-restore; ignore errors on teardown
src/Kathara/foundation/manager/terminal/console/UnixConsoleAdapter.py	93	asyncio loop.add_reader on stdin fd	n/a	stdin readiness → os.read(4096) → on_bytes (session.write); raw-mode terminal	OSError or EOF on read → on_close() (runner.close()); on_bytes exceptions NOT caught here (but runner's _on_stdin_bytes catches around session.write)	yes (loop serializes)	goroutine blocking-reading os.Stdin; EOF/err → close; raw mode via golang.org/x/term
src/Kathara/foundation/manager/terminal/console/UnixConsoleAdapter.py	142	asyncio loop.add_signal_handler(SIGWINCH) (fallback: signal.signal)	n/a	terminal resize propagation → TIOCGWINSZ ioctl → cb(cols,rows) → session.resize; fires once immediately on install	add_signal_handler failure → fallback to signal.signal (handler then runs in main thread at arbitrary point); cb exceptions caught by runner (_on_resize → close())	no	signal.Notify(ch, syscall.SIGWINCH) + goroutine; initial resize sent on start
src/Kathara/foundation/manager/terminal/console/WindowsConsoleAdapter.py	221	asyncio create_task(_pump) using run_in_executor per iteration (at 206)	1 worker at a time	Windows console input: blocking-ish PeekConsoleInputW/ReadConsoleInputW per event in executor thread; empty → 10ms sleep poll; translates key events to ANSI bytes; resize events dispatched inline via _resize_cb	executor exception → on_close() and pump exits; on_bytes exception → on_close(); task.cancel() in remove_input_reader; errors never propagate	yes (sequential await preserves keystroke order)	goroutine polling console API (or x/term on Windows); ctx cancellation replaces task.cancel
src/Kathara/parser/netkit/DepParser.py	75	sequential (lab.dep parse + depgen)	n/a	parses lab.dep lines (regex `^\w+:\s?(\w+ ?)+$`), builds dependencies[machine]=[its deps]; depgen.has_loop (recursive DFS) then depgen.flatten → list ordered by dependency depth (invert deps → per-node max depth level → group by level ascending, sorted(iorder.keys()), extend)	IOError (open fail), SyntaxError (bad line, 1-based line number), MachineDependencyError (loop) — all raised synchronously; empty file → warning + None; missing file → None	YES — flatten() output IS the boot order consumed by Lab.apply_dependencies; within a level, order follows _invert/_order dict iteration (Python dict = insertion order) — golden-test this	port depgen verbatim (has_loop + flatten with identical level-grouping and insertion-order iteration); deterministic map iteration required — use ordered structures, NOT Go map range
src/Kathara/model/Lab.py	252	sequential stable sort (apply_dependencies)	n/a	reorders lab.machines OrderedDict by dep_sort key: dependencies.index(name)+1 if present else 0 → machines NOT in lab.dep sort FIRST (key 0), ties keep insertion order (sorted() is stable); sets has_dependencies=True which switches BOTH managers' deploy to the sequential path	ValueError from index() caught → key 0; nothing else raises	YES — this ordering is exactly what the sequential deploy path consumes	ordered slice of machine names in Go (Lab must preserve machine insertion order); stable sort with same key; boolean HasDependencies flag drives sequential deploy
src/Kathara/cli/command/LstartCommand.py	175	sequential wiring (DepParser.parse → lab.apply_dependencies)	n/a	lstart: parses lab.dep AFTER lab.conf parse; only if non-None applies ordering; this is the ONLY producer of has_dependencies=True in the CLI flow	DepParser exceptions propagate to CLI error handling	yes (see Lab.py 252)	same call order in Go lstart; keep parse-after-lab.conf so machine insertion order is the tiebreak
src/Kathara/event/EventDispatcher.py	72	cross-thread dispatch (no locking in Python — relies on GIL)	n/a	dispatch() is invoked from Pool WORKER threads ("machine_deployed", "link_deployed", "machine_undeployed", "link_undeployed") and from k8s WAIT threads, while "…_started/_ended" fire on the caller thread; subscribed CLI handlers (rich progress bars) mutate state concurrently	no error handling around handlers — a handler exception inside a worker becomes that worker's exception (feeds Pool.map first-error semantics)	no	dispatcher + all handlers must be goroutine-safe: mutex inside dispatcher or serialize events through a channel; progress-bar updates behind a mutex
